information,price
"Графический контроллер: UHD Graphics; Диагональ экрана: 15.6""(39.6 см); Диагональ/разрешение: 15.6""/1920x1080 пикс.; Количество ядер: 2; Кэш-память: 6 МБ; Максимальная тактовая частота: 4.1 ГГц; Модель процессора: 1115G4; ОС Windows: установлена; Операцио",44999
"Графический контроллер: UHD Graphics; Диагональ экрана: 14""(35.5 см); Диагональ/разрешение: 14""/1920x1080 пикс.; Количество ядер: 4; Кэш-память: 4 МБ; Максимальная тактовая частота: 3.3 ГГц; Модель: SP114-31; Модель процессора: N6000; ОС Windows: установл",49999
"Графический контроллер: UHD Graphics; Диагональ экрана: 14""(35.5 см); Диагональ/разрешение: 14""/1920x1080 пикс.; Количество ядер: 4; Кэш-память: 4 МБ; Максимальная тактовая частота: 3.3 ГГц; Модель: SP114-31; Модель процессора: N6000; ОС Windows: установл",54999
"Графический контроллер: UHD Graphics; Диагональ экрана: 14""(35.5 см); Диагональ/разрешение: 14""/1920x1080 пикс.; Количество ядер: 2; Кэш-память: 4 МБ; Максимальная тактовая частота: 2.8 ГГц; Модель: SP114-31; Модель процессора: N4500; ОС Windows: установл",37999
"Графический контроллер: UHD Graphics 605; Диагональ экрана: 15.6""(39.6 см); Диагональ/разрешение: 15.6""/1920x1080 пикс.; Количество ядер: 4; Кэш-память: 4 МБ; Максимальная тактовая частота: 3.1 ГГц; Модель процессора: N5030; ОС Windows: установлена; Опера",39999
Графический контроллер: UHD Graphics 600; Количество ядер: 2; Кэш-память: 4 МБ; Максимальная тактовая частота: 2.8 ГГц; Модель: 27K08EA 250 G8; Модель процессора: Intel Celeron Dual Core N4020; ОС Windows: не установлена; Операционная система: не установл,24999
"Графический контроллер: UHD Graphics 600; Диагональ/разрешение: 15.6""/1920x1080 пикс.; Количество ядер: 2; Кэш-память: 4 МБ; Максимальная тактовая частота: 2.8 ГГц; Модель: 197V9EA 250 G7; Модель процессора: Intel Celeron Dual Core N4020; Операционная сис",24999
"Графический контроллер: UHD Graphics 600; Диагональ экрана: 15.6""(39.6 см); Диагональ/разрешение: 15.6""/1920x1080 пикс.; Количество ядер: 2; Кэш-память: 4 МБ; Максимальная тактовая частота: 2.8 ГГц; Модель процессора: N4020; ОС Windows: установлена; Опера",39999
"Графический контроллер: Radeon; Диагональ экрана: 14""(35.5 см); Диагональ/разрешение: 14""/1920x1080 пикс.; Количество ядер: 6; Кэш-память: 8 МБ; Максимальная тактовая частота: 4 ГГц; Модель: SF314-43; Модель процессора: 5500U; ОС Windows: установлена; Опе",51999
"Графический контроллер: Radeon; Диагональ экрана: 14""(35.5 см); Диагональ/разрешение: 14""/1920x1080 пикс.; Количество ядер: 6; Кэш-память: 8 МБ; Максимальная тактовая частота: 4 ГГц; Модель: SF314-43; Модель процессора: 5500U; ОС Windows: установлена; Опе",51999
