information,price
"Гарантия: 1 год; ЗД для отчета BI/BO: 11.6""/1366x768 пикс./IPS/Intel/Celeron/Intel HD Graphics/4 ГБ/64 ГБ/Windows 10 Pro; Количество ядер: 2; Кэш-память: 2 МБ; Максимальная тактовая частота: 2.4 ГГц; Модель: NB122; Модель процессора: N3350; ОС Windows: ус",15999
"Гарантия: 1 год; ЗД для отчета BI/BO: 15.6""/1920x1080 пикс./IPS/Intel/Core i5/GeForce GTX 1650 4GB/8 ГБ/256 ГБ/не установлена; Количество ядер: 12; Модель процессора: 12500H; ОС Windows: не установлена; Обратите внимание: производительная видеокарта; Опер",79999
"Гарантия: 1 год; ЗД для отчета BI/BO: 17.3""/1920x1080 пикс./AHVA/Intel/Core i5/GeForce RTX 3060 для ноутбуков 6GB/16 ГБ/512 ГБ/Windows 11 Pro 64; Количество ядер: 8; Кэш-память: 12 МБ; Максимальная тактовая частота: 4.4 ГГц; Модель процессора: 12450H; ОС",109999
"Гарантия: 1 год; ЗД для отчета BI/BO: 14""/1366x768 пикс./IPS/Intel/Celeron/Intel HD Graphics 500/4 ГБ/64 ГБ/Windows 10 Домашняя; Количество ядер: 2; Кэш-память: 2 МБ; Максимальная тактовая частота: 2.40 ГГц; Модель: NB259; Модель процессора: N3350; ОС Win",15999
"Гарантия: 1 год; ЗД для отчета BI/BO: 15.6""/1920x1080 пикс./IPS/Intel/Core i7/GeForce RTX 3060 для ноутбуков 6GB/16 ГБ/512 ГБ/Windows 11 Домашняя 64; Количество ядер: 6; Кэш-память: 12 МБ; Максимальная тактовая частота: 4.5 ГГц; Модель процессора: 11400Н;",94999
"Гарантия: 1 год; ЗД для отчета BI/BO: 11.6""/1366x768 пикс./IPS/Intel/Celeron/Intel HD Graphics/4 ГБ/64 ГБ/Windows 10 Pro; Количество ядер: 2; Кэш-память: 2 МБ; Максимальная тактовая частота: 2.40 ГГц; Модель: NB123; Модель процессора: N3350; ОС Windows: у",15499
"Гарантия: 1 год; ЗД для отчета BI/BO: 15.6""/3200x1800 пикс./IPS/Intel/Celeron/Intel UHD Graphics 600/4 ГБ/128 ГБ/Windows 10 Домашняя; Количество ядер: 2; Кэш-память: 4 МБ; Максимальная тактовая частота: 2.80 ГГц; Модель: NB280; Модель процессора: N4020; О",19999
"Гарантия: 1 год; ЗД для отчета BI/BO: 14.1""/1920x1080 пикс./IPS/Intel/Celeron/Intel UHD Graphics 600/4 ГБ/128 ГБ/Windows 10 Pro; Количество ядер: 2; Кэш-память: 4 МБ; Максимальная тактовая частота: 2.8 ГГц; Модель: NB265; Модель процессора: N4020; ОС Wind",17999
"Гарантия: 1 год; ЗД для отчета BI/BO: 13.5""/3000x2000пикс./IPS/Intel/Pentium/Intel HD Graphics/4 ГБ/128 ГБ/Windows 10 Pro; Количество ядер: 4; Кэш-память: 2 МБ; Максимальная тактовая частота: 2.64 ГГц; Модель: NB657; Модель процессора: J3710; ОС Windows:",19999
"Гарантия: 1 год; ЗД для отчета BI/BO: 15.6""/1366x768 пикс./TN/Intel/Pentium/Intel HD Graphics/4 ГБ/128 ГБ/Windows 10 Pro; Количество ядер: 4; Кэш-память: 2 МБ; Максимальная тактовая частота: 2.64 ГГц; Модель: NB287; Модель процессора: J3710; ОС Windows: у",18999
