information,price,notebook_id
"Графический контроллер: UHD Graphics; Диагональ экрана: 15.6""(39.6 см); Диагональ/разрешение: 15.6""/1366x768 пикс.; ЖД для отчета BI/BO: 256 ГБ; Количество ядер: 2; Модель: 2V0G1ES; Модель процессора: N4020; ОС Windows: не установлена; Объем SSD: 256 ГБ;",24999,55
"Ноутбук; Производитель: Irbis. Операционная система: Windows 10 Профессиональная; Диагональ экрана: 15.6""; Разрешение экрана: 1366x768
Пикс; Тип матрицы: TN; Поверхность: Матовая; Производитель процессора: Intel; Тактовая частота: 1.6; Количество ядер: 4;",18999,56
"Гарантия: 1 год; Гарантия предоставляется: продавцом; ЗД для отчета BI/BO: 15.6""/1920x1080 пикс./TFT/AMD/Ryzen 7/Radeon Graphics/8 ГБ/512 ГБ/не установлена; Количество ядер: 8; Кэш-память: 8 МБ; Максимальная тактовая частота: 4.3 ГГц; Модель процессора: 5",47999,57
Важная особенность: Тонкий и легкий; Количество ядер: 2; Кэш-память: 6 МБ; Модель: HP 15s-fq2151ur; Модель процессора: 1115G4; ОС Windows: установлена; Обратите внимание: Дисплей Full HD; Операционная система: Windows 11 Домашняя 64; Пользователи оценят:,48999,58
"Гарантия: 1 год; Гарантия предоставляется: продавцом; ЗД для отчета BI/BO: 15.6""/1920x1080 пикс./IPS/Intel/Core i7/GeForce RTX 3050 Ti для ноутбуков 4GB/16 ГБ/512 ГБ/не установлена; Количество ядер: 8; Модель процессора: 11800H; ОС Windows: не установлена",94999,59
"Гарантия: 1 год; ЗД для отчета BI/BO: 17.3""/1920x1080 пикс./IPS/Intel/Core i5/GeForce RTX 3060 для ноутбуков 6GB/8 ГБ/256 ГБ/не установлена; Количество ядер: 6; Кэш-память: 12 МБ; Максимальная тактовая частота: 4.5 ГГц; Модель процессора: 11400H; ОС Windo",99999,60
"Гарантия: 1 год; Гарантия предоставляется: продавцом; ЗД для отчета BI/BO: 14""/1366x768 пикс./TN/Intel/Celeron/Intel UHD Graphics 600/4 ГБ/128 ГБ/Windows 10 Pro; Количество ядер: 2; Кэш-память: 4 МБ; Модель процессора: N4020; ОС Windows: установлена; Опер",20999,61
"Игровой ноутбук; Производитель: Lenovo. Операционная система: Без ОС; Диагональ экрана: 15.6""; Яркость: 300; Разрешение экрана: 1920x1080
Пикс; Тип матрицы: IPS; Поверхность: Матовая; Производитель процессора: Intel; Тактовая частота: 2.7; Количество ядер",84999,62
"Игровой ноутбук; Производитель: GIGABYTE. Операционная система: Без ОС; Диагональ экрана: 15.6""; Разрешение экрана: 1920x1080
Пикс; Тип матрицы: IPS; Поверхность: Матовая; Производитель процессора: Intel; Тактовая частота: 2.7; Количество ядер: 6; Тип вид",89999,63
"Ноутбук; Производитель: HUAWEI. Операционная система: Windows 11 Домашняя; Диагональ экрана: 16""; Разрешение экрана: 2520x1680
Пикс; Тип матрицы: IPS; Поверхность: Матовая; Производитель процессора: Intel; Тактовая частота: 2.4; Количество ядер: 14; Тип в",104999,64
"Производитель: MSI. Ноутбук MSI ""Pulse GL66 11UDK-418RU"" 9S7-158224-418 (Core i5 11400H-2.70ГГц, 8ГБ, 512ГБ SSD, 4ГБ GFRTX3050Ti, 1Гбит LAN, WiFi, BT, WebCam, 15.6"" 1920x1080, W'10 H), серый",124423,65
"Игровой ноутбук; Производитель: MSI. Операционная система: Windows 11; Диагональ экрана: 17.3""; Разрешение экрана: 1920x1080
Пикс; Тип матрицы: IPS-level; Поверхность: Матовая; Производитель процессора: Intel; Тактовая частота: 2; Количество ядер: 8; Тип",99999,66
"Производитель: Lenovo. Ноутбук Lenovo ""V15-ITL G2"" 82KB0006RU (Core i3 1115G4-3.00ГГц, 8ГБ, 256ГБ SSD, UHDG, 1Гбит LAN, WiFi, BT, WebCam, 15.6"" 1920x1080, без ОС), черный",45319,67
"Важная особенность: IPS экран; Гарантия: 1 год; ЗД для отчета BI/BO: 17.3""/1920x1080 пикс./IPS/Intel/Core i5/GeForce RTX 3050 для ноутбуков 4GB/16 ГБ/512 ГБ/не установлена; Количество ядер: 12; Модель процессора: 12500H; ОС Windows: не установлена; Обрати",99999,68
"Графический контроллер: Intel UHD Graphics; Диагональ/разрешение: 15.6""/1920x1080 пикс.; Количество ядер: 2; Кэш-память: 4 МБ; Максимальная тактовая частота: 3.5 ГГц; Модель: R565EA-BQ2091W; Модель процессора: 7505; ОС Windows: установлена; Операционная с",39999,69
"Гарантия: 1 год; Гарантия предоставляется: продавцом; ЗД для отчета BI/BO: 14""/1366x768 пикс./TN/Intel/Celeron/Intel UHD Graphics 600/4 ГБ/1 ТБ/не установлена; Количество ядер: 2; Кэш-память: 4 МБ; Модель процессора: N4020; ОС Windows: не установлена; Опе",17999,70
"Ноутбук; Производитель: Digma. Операционная система: Windows 11; Диагональ экрана: 15.6""; Разрешение экрана: 1920x1080
Пикс; Тип матрицы: IPS; Поверхность: Матовая; Производитель процессора: Intel; Тактовая частота: 2.1; Количество ядер: 2; Тип видеокарты",39999,71
"Ноутбук; Производитель: Irbis. Операционная система: Windows 10 Профессиональная; Диагональ экрана: 14.1""; Разрешение экрана: 1920x1080
Пикс; Тип матрицы: IPS; Поверхность: Матовая; Производитель процессора: Intel; Тактовая частота: 1.1; Количество ядер:",17899,72
Важная особенность: Инновационная система охлаждения; Версия ОС: 10 Home; Количество ядер: 4; Кэш-память: 12 МБ; Модель: NDR-WFE9HN; Модель процессора: 1165G7; ОС Windows: установлена; Обратите внимание: Прочный металлический корпус; Операционная система:,78999,73
